2026-08-01 22:34:14.856 | INFO     | app.agent.nodes.extact_keywords:extract_keywords:45 - 抽取的关键字列表：['统计', '销售总额', '统计华北地区的销售总额', '华北地区']
2026-08-01 22:35:29.399 | INFO     | app.agent.nodes.extact_keywords:extract_keywords:45 - 抽取的关键字列表：['华北地区', '统计', '销售总额', '统计华北地区的销售总额']
2026-08-01 22:35:51.143 | INFO     | app.agent.nodes.recall_metric:recall_metric:61 - 指标信息检索结果为:dict_values([MetricInfo(id='GMV', name='GMV', description='全称Gross Merchandise Value，表示所有订单的成交金额总和。', relevant_columns=['fact_order.order_amount'], alias=['成交总额', '订单总额']), MetricInfo(id='AOV', name='AOV', description='全称Average Order Value，客单价，平均每笔订单成交金额 = 总订单金额 / 订单总数', relevant_columns=['fact_order.order_amount', 'fact_order.order_id'], alias=['平均订单金额', '客单价'])])
2026-08-01 22:35:56.827 | INFO     | app.agent.nodes.recall_column:recall_column:55 - keywords：{'销售额', '华北地区', '统计', '销售区域', '销售总额', '统计华北地区的销售总额'}
2026-08-01 22:35:57.737 | INFO     | app.agent.nodes.recall_column:recall_column:71 - 检索的字段信息：dict_values([ColumnInfo(id='fact_order.order_amount', name='order_amount', type='float', role='measure', examples=[8999.0, 6999.0, 125.0, 899.0, 60.0, 1399.0, 40.0, 299.0, 200.0, 9499.0], description='订单金额。', alias=['销售额', '订单金额', '收入'], table_id='fact_order'), ColumnInfo(id='fact_order.order_quantity', name='order_quantity', type='int', role='measure', examples=[1, 1, 5, 1, 12, 1, 8, 2, 8, 1], description='订单中商品的购买数量。', alias=['销量', '购买数量', '件数'], table_id='fact_order'), ColumnInfo(id='dim_region.region_name', name='region_name', type='varchar(50)', role='dimension', examples=['华南', '华东', '西南', '华北', '华东', '华中'], description='订单所属的大区名称，如华东、华南等。', alias=['地区', '区域', '大区'], table_id='dim_region')])
2026-08-01 23:18:14.390 | INFO     | app.agent.nodes.extact_keywords:extract_keywords:45 - 抽取的关键字列表：['统计华北地区的销售总额', '华北地区', '统计', '销售总额']
2026-08-01 23:18:28.699 | INFO     | app.agent.nodes.recall_metric:recall_metric:42 - 合并后的关键词：{'销售金额', '统计', '销售额', '交易总额', '统计华北地区的销售总额', '华北地区', '销售收入', '销售总额'}
2026-08-01 23:18:33.320 | INFO     | app.agent.nodes.recall_metric:recall_metric:63 - 指标信息检索结果为:dict_values([MetricInfo(id='GMV', name='GMV', description='全称Gross Merchandise Value，表示所有订单的成交金额总和。', relevant_columns=['fact_order.order_amount'], alias=['成交总额', '订单总额']), MetricInfo(id='AOV', name='AOV', description='全称Average Order Value，客单价，平均每笔订单成交金额 = 总订单金额 / 订单总数', relevant_columns=['fact_order.order_amount', 'fact_order.order_id'], alias=['平均订单金额', '客单价'])])
2026-08-01 23:18:34.554 | INFO     | app.agent.nodes.recall_column:recall_column:56 - 合并后的关键字：{'统计', '销售额', '销售区域', '统计华北地区的销售总额', '华北地区', '销售总额'}
2026-08-01 23:18:35.515 | INFO     | app.agent.nodes.recall_column:recall_column:70 - 检索的字段信息：dict_values([ColumnInfo(id='fact_order.order_quantity', name='order_quantity', type='int', role='measure', examples=[1, 1, 5, 1, 12, 1, 8, 2, 8, 1], description='订单中商品的购买数量。', alias=['销量', '购买数量', '件数'], table_id='fact_order'), ColumnInfo(id='fact_order.order_amount', name='order_amount', type='float', role='measure', examples=[8999.0, 6999.0, 125.0, 899.0, 60.0, 1399.0, 40.0, 299.0, 200.0, 9499.0], description='订单金额。', alias=['销售额', '订单金额', '收入'], table_id='fact_order'), ColumnInfo(id='dim_region.region_name', name='region_name', type='varchar(50)', role='dimension', examples=['华南', '华东', '西南', '华北', '华东', '华中'], description='订单所属的大区名称，如华东、华南等。', alias=['地区', '区域', '大区'], table_id='dim_region')])
2026-08-01 23:18:48.493 | INFO     | app.agent.nodes.recall_column_values:recall_column_values:41 - 大模型生成的关键字：['华北地区', '华北']
2026-08-01 23:18:48.494 | INFO     | app.agent.nodes.recall_column_values:recall_column_values:48 - 合并后的关键字：{'统计', '华北', '统计华北地区的销售总额', '华北地区', '销售总额'}
2026-08-01 23:21:54.220 | INFO     | app.agent.nodes.extact_keywords:extract_keywords:45 - 抽取的关键字列表：['统计', '统计华北地区的销售总额', '销售总额', '华北地区']
2026-08-01 23:22:10.073 | INFO     | app.agent.nodes.recall_metric:recall_metric:42 - 合并后的关键词：{'统计华北地区的销售总额', '交易总额', '华北地区', '统计', 'GMV', '成交额', '销售额', '销售收入', '销售总额'}
2026-08-01 23:22:11.319 | INFO     | app.agent.nodes.recall_metric:recall_metric:63 - 指标信息检索结果为:dict_values([MetricInfo(id='GMV', name='GMV', description='全称Gross Merchandise Value，表示所有订单的成交金额总和。', relevant_columns=['fact_order.order_amount'], alias=['成交总额', '订单总额']), MetricInfo(id='AOV', name='AOV', description='全称Average Order Value，客单价，平均每笔订单成交金额 = 总订单金额 / 订单总数', relevant_columns=['fact_order.order_amount', 'fact_order.order_id'], alias=['平均订单金额', '客单价'])])
2026-08-01 23:22:14.609 | INFO     | app.agent.nodes.recall_column_values:recall_column_values:41 - 大模型生成的关键字：['华北地区', '华北']
2026-08-01 23:22:14.609 | INFO     | app.agent.nodes.recall_column_values:recall_column_values:48 - 合并后的关键字：{'统计华北地区的销售总额', '华北地区', '统计', '华北', '销售总额'}
2026-08-01 23:22:20.155 | INFO     | app.agent.nodes.recall_column:recall_column:56 - 合并后的关键字：{'统计华北地区的销售总额', '华北地区', '统计', '销售额', '地区', '销售总额'}
